name,date,diameter_m,velocity_km_s,miss_distance_km,eccentricity,hazardous
415949 (2001 XY10),2024-01-02,794.4013596028,15.8905264223,50452409.349026635,0.0,0
(2003 SR84),2024-01-02,37.5007521798,10.7191818981,19798169.933318187,0.0,0
(2005 YQ96),2024-01-02,446.7247132921,15.6702817644,24984732.5591945,0.0,1
(2009 HC21),2024-01-02,225.9643771094,6.0808661718,73609796.92499082,0.0,0
(2010 XA11),2024-01-02,35.8129403019,8.7413828775,35275514.131770484,0.0,0
(2011 YP10),2024-01-02,96.8366994728,5.8070023218,10545147.184234997,0.0,0
(2012 SD22),2024-01-02,580.817881978,11.0227943004,24597313.4350941,0.0,1
(2017 YD8),2024-01-02,251.2117672679,18.9936426332,30107678.45149672,0.0,0
(2019 KK5),2024-01-02,164.452310205,20.8331302779,3904096.678005315,0.0,0
613286 (2005 YQ96),2024-01-02,444.6721996757,15.6702896005,24984795.0462248,0.0,1
(2023 AW),2024-01-02,43.4550224647,5.3000317604,16252312.970794676,0.0,0
(2023 XZ4),2024-01-02,92.0534307207,11.3259084311,21691678.389301687,0.0,0
(2023 YR),2024-01-02,62.2357573367,12.2195715368,1729961.781388961,0.0,0
(2024 AA),2024-01-02,19.5902500233,21.4321092699,610571.843293909,0.0,0
(2022 OY78),2024-01-02,31.4803809193,8.8314719331,17553928.179055236,0.0,0
(2024 AQ1),2024-01-02,107.1617947985,15.469545141,6556678.638970726,0.0,0
(2024 AA2),2024-01-02,463.4895840887,16.000245467,28794164.5278521,0.0,0
(2024 AR3),2024-01-02,113.2504610618,13.0433070531,7878470.456033288,0.0,0
(2024 BK1),2024-01-02,75.1692087496,5.8516481506,36368802.56262325,0.0,0
669051 (2012 SD22),2024-01-02,572.8487618827,11.0227939149,24597309.695147347,0.0,1
(2024 KY),2024-01-02,29.7879062798,6.2809825165,35127451.53983093,0.0,0
(2024 KJ1),2024-01-02,34.043952726,4.9851096001,16030952.32936526,0.0,0
(2015 OD22),2024-01-01,340.4395272595,25.3931645932,65417380.10969937,0.0,0
(2018 BA),2024-01-01,59.4346868419,16.7051869184,59256680.30071449,0.0,0
(2020 BC),2024-01-01,34.201092472,8.3141771772,25070662.218993343,0.0,0
(2021 SG2),2024-01-01,46.3489584089,19.2601228725,71794479.50579,0.0,0
(2022 AO2),2024-01-01,86.3057992509,19.5135931126,55049570.13010699,0.0,0
(2023 YR1),2024-01-01,43.4550224647,13.2957757989,2484569.266358826,0.0,0
(2023 YY1),2024-01-01,41.6907759952,6.4760794463,4058906.896831003,0.0,0
(2024 AV2),2024-01-01,27.9280091938,8.0634346109,1452207.844256913,0.0,0
(2024 AA6),2024-01-01,56.239309364,7.1243393888,7351471.447855092,0.0,0
(2025 AB),2024-01-01,22.2864029626,7.7572149549,23693200.7560047,0.0,0
450293 (2004 LV3),2024-01-04,1018.6851583223,23.7178883208,37629939.10050602,0.0,1
(2010 PJ),2024-01-04,221.8400624229,18.4122352237,48751391.89816336,0.0,0
(2016 SU2),2024-01-04,17.948988478,17.1238660723,24656351.157384936,0.0,0
(2022 BR6),2024-01-04,27.6719636665,20.3051702926,67952893.52446672,0.0,0
(2023 QC2),2024-01-04,35.8129403019,5.3787687289,66150221.23922232,0.0,0
(2023 XX12),2024-01-04,66.3804173771,6.9182516294,8499675.985202963,0.0,0
(2023 XS13),2024-01-04,83.1840342251,6.9046151731,23231366.08632553,0.0,0
(2024 AD),2024-01-04,10.5205871614,9.9004210563,242675.944338495,0.0,0
(2024 AB2),2024-01-04,25.5882142717,7.0037707416,744109.783557929,0.0,0
(2024 QT),2024-01-04,15.4184237999,5.8785650451,41810393.36912481,0.0,0
(2003 JV14),2024-01-03,313.3574170739,13.6603242742,39218727.406507015,0.0,0
(2011 YE40),2024-01-03,54.2050786336,13.0832838643,17737010.465498403,0.0,0
(2012 AB11),2024-01-03,204.1925904549,18.3613912555,42945020.55338935,0.0,0
(2012 LJ2),2024-01-03,271.6689340891,17.3904977402,72656389.98248155,0.0,0
(2013 NT11),2024-01-03,751.6920874957,37.852109203,58024777.65499457,0.0,0
(2016 GZ215),2024-01-03,361.4431335863,3.7257304746,47416427.49497433,0.0,0
(2017 UJ2),2024-01-03,3.9268108181,5.6646429678,41723362.16037001,0.0,0
(2017 WQ1),2024-01-03,59.9846292283,21.6521650376,58770868.08443172,0.0,0
(2019 AE3),2024-01-03,19.6806745089,8.5121919111,32886309.79750948,0.0,0
(2020 BG1),2024-01-03,228.0551997482,8.5169042448,65717561.10127119,0.0,0
(2020 OU),2024-01-03,212.8334959841,9.9486934797,53503979.18145465,0.0,0
(2022 JM),2024-01-03,10.328564805,4.2043854371,24915574.929952625,0.0,0
